Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
BERT,ARTS,2,10,0.1,0.08514311764162098,10.0
BERT,ARTS,3,5,0.0,0.0,0.0
BERT,ARTS,3,10,0.0,0.0,0.0
BERT,BUSINESS-DEVELOPMENT,1,5,0.0,0.0,0.0
BERT,BUSINESS-DEVELOPMENT,1,10,0.0,0.0,0.0
BERT,BUSINESS-DEVELOPMENT,2,5,0.0,0.0,0.0
BERT,BUSINESS-DEVELOPMENT,2,10,0.0,0.0,0.0
BERT,BUSINESS-DEVELOPMENT,3,5,0.4,0.5087403079104241,40.0
BERT,BUSINESS-DEVELOPMENT,3,10,0.3,0.40853591842579556,30.0
BERT,AGRICULTURE,1,5,0.0,0.0,0.0
BERT,AGRICULTURE,1,10,0.0,0.0,0.0
BERT,AGRICULTURE,2,5,0.0,0.0,0.0
BERT,AGRICULTURE,2,10,0.0,0.0,0.0
BERT,AGRICULTURE,3,5,0.0,0.0,0.0
BERT,AGRICULTURE,3,10,0.0,0.0,0.0
BERT,AGRICULTURE,4,5,0.0,0.0,0.0
BERT,AGRICULTURE,4,10,0.0,0.0,0.0
BERT,AGRICULTURE,5,5,0.0,0.0,0.0
BERT,AGRICULTURE,5,10,0.1,0.06625422345438903,10.0
BERT,AGRICULTURE,6,5,0.0,0.0,0.0
BERT,AGRICULTURE,6,10,0.0,0.0,0.0
BERT,AGRICULTURE,7,5,0.2,0.21398626473452756,20.0
BERT,AGRICULTURE,7,10,0.1,0.13886244387355454,10.0
BERT,AGRICULTURE,8,5,0.0,0.0,0.0
BERT,AGRICULTURE,8,10,0.1,0.06625422345438903,10.0
BERT,APPAREL,1,5,0.4,0.48522855511632257,40.0
BERT,APPAREL,1,10,0.3,0.3843113526044082,30.0
BERT,APPAREL,2,5,0.0,0.0,0.0
BERT,APPAREL,2,10,0.0,0.0,0.0
BERT,APPAREL,3,5,0.4,0.3156484524795145,40.0
BERT,APPAREL,3,10,0.4,0.3476293915547282,40.0
BERT,APPAREL,4,5,0.2,0.16958010263680806,20.0
BERT,APPAREL,4,10,0.1,0.11004588314904008,10.0
BERT,APPAREL,5,5,0.2,0.14606834984270645,20.0
BERT,APPAREL,5,10,0.2,0.1584091525685025,20.0
BERT,APPAREL,6,5,0.0,0.0,0.0
BERT,APPAREL,6,10,0.1,0.07839826897867533,10.0
BERT,APPAREL,7,5,0.2,0.16958010263680806,20.0
BERT,APPAREL,7,10,0.1,0.11004588314904008,10.0
BERT,APPAREL,8,5,0.0,0.0,0.0
BERT,APPAREL,8,10,0.0,0.0,0.0
BERT,CONSTRUCTION,1,5,0.2,0.3391602052736161,20.0
BERT,CONSTRUCTION,1,10,0.2,0.2863459897524692,20.0
BERT,CONSTRUCTION,2,5,0.2,0.14606834984270645,20.0
BERT,CONSTRUCTION,2,10,0.2,0.16421958630632802,20.0
BERT,CONSTRUCTION,3,5,0.0,0.0,0.0
BERT,CONSTRUCTION,3,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,1,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,1,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,2,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,2,10,0.1,0.06362078819895171,10.0
BERT,PUBLIC-RELATIONS,3,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,3,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,4,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,4,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,5,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,5,10,0.1,0.06943122193677727,10.0
BERT,PUBLIC-RELATIONS,6,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,6,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,7,5,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,7,10,0.0,0.0,0.0
BERT,PUBLIC-RELATIONS,8,5,0.2,0.13120507751234178,20.0
BERT,PUBLIC-RELATIONS,8,10,0.3,0.21501812929496175,30.0
BERT,PUBLIC-RELATIONS,9,5,0.2,0.13120507751234178,20.0
BERT,PUBLIC-RELATIONS,9,10,0.1,0.08514311764162098,10.0
BERT,BPO,1,5,0.0,0.0,0.0
BERT,BPO,1,10,0.0,0.0,0.0
BERT,BPO,2,5,0.0,0.0,0.0
BERT,BPO,2,10,0.0,0.0,0.0
BERT,BPO,3,5,0.0,0.0,0.0
BERT,BPO,3,10,0.0,0.0,0.0
BERT,BPO,4,5,0.0,0.0,0.0
BERT,BPO,4,10,0.0,0.0,0.0
BERT,BPO,5,5,0.0,0.0,0.0
BERT,BPO,5,10,0.0,0.0,0.0
BERT,BPO,6,5,0.0,0.0,0.0
BERT,BPO,6,10,0.0,0.0,0.0
TF-IDF,HR,1,5,0.6,0.639945385422766,60.0
TF-IDF,HR,1,10,0.5,0.5599332595218056,50.0
TF-IDF,HR,2,5,0.2,0.3391602052736161,20.0
TF-IDF,HR,2,10,0.2,0.28952298823485745,20.0
TF-IDF,HR,3,5,0.8,0.7860137352654724,80.0
TF-IDF,HR,3,10,0.6,0.6399441431116327,60.0
TF-IDF,HR,4,5,0.6,0.4468535299918563,60.0
TF-IDF,HR,4,10,0.6,0.4892835987503298,60.0
TF-IDF,HR,5,5,1.0,1.0,100.0
TF-IDF,HR,5,10,1.0,1.0,100.0
TF-IDF,HR,6,5,1.0,1.0,100.0
TF-IDF,HR,6,10,1.0,1.0,100.0
TF-IDF,HR,7,5,1.0,1.0,100.0
TF-IDF,HR,7,10,1.0,1.0,100.0
TF-IDF,HR,8,5,1.0,1.0,100.0
TF-IDF,HR,8,10,1.0,1.0,100.0
TF-IDF,HR,9,5,0.6,0.5296347172140421,60.0
TF-IDF,HR,9,10,0.8,0.6947651160602989,80.0
TF-IDF,INFORMATION-TECHNOLOGY,1,5,0.0,0.0,0.0
TF-IDF,INFORMATION-TECHNOLOGY,1,10,0.3,0.20827328063201608,30.0
TF-IDF,INFORMATION-TECHNOLOGY,2,5,0.4,0.5531464700081437,40.0
TF-IDF,INFORMATION-TECHNOLOGY,2,10,0.6,0.636658712740428,60.0
TF-IDF,INFORMATION-TECHNOLOGY,3,5,0.2,0.21398626473452756,20.0
TF-IDF,INFORMATION-TECHNOLOGY,3,10,0.5,0.42367664508731884,50.0
TF-IDF,INFORMATION-TECHNOLOGY,4,5,0.8,0.8539316501572937,80.0
TF-IDF,INFORMATION-TECHNOLOGY,4,10,0.5,0.6235744328990731,50.0
TF-IDF,INFORMATION-TECHNOLOGY,5,5,0.6,0.6843515475204855,60.0
TF-IDF,INFORMATION-TECHNOLOGY,5,10,0.7,0.7167674835027339,70.0
TF-IDF,INFORMATION-TECHNOLOGY,6,5,0.0,0.0,0.0
TF-IDF,INFORMATION-TECHNOLOGY,6,10,0.1,0.06943122193677727,10.0
TF-IDF,INFORMATION-TECHNOLOGY,7,5,0.4,0.36005461457723403,40.0
TF-IDF,INFORMATION-TECHNOLOGY,7,10,0.3,0.30701473034246535,30.0
TF-IDF,INFORMATION-TECHNOLOGY,8,5,0.6,0.6992148198508501,60.0
TF-IDF,INFORMATION-TECHNOLOGY,8,10,0.6,0.6651928536555899,60.0
TF-IDF,INFORMATION-TECHNOLOGY,9,5,0.8,0.8539316501572937,80.0
TF-IDF,INFORMATION-TECHNOLOGY,9,10,0.6,0.696162268139923,60.0
TF-IDF,INFORMATION-TECHNOLOGY,10,5,1.0,1.0,100.0
TF-IDF,INFORMATION-TECHNOLOGY,10,10,0.7,0.800693766409882,70.0
TF-IDF,DESIGNER,1,5,0.6,0.6992148198508501,60.0
TF-IDF,DESIGNER,1,10,0.7,0.7411902110103873,70.0
TF-IDF,DESIGNER,2,5,0.8,0.8687949224876582,80.0
TF-IDF,DESIGNER,2,10,0.6,0.6936634693435663,60.0
TF-IDF,DESIGNER,3,5,0.4,0.5531464700081437,40.0
TF-IDF,DESIGNER,3,10,0.5,0.5704044892860389,50.0
TF-IDF,DESIGNER,4,5,0.8,0.8687949224876582,80.0
TF-IDF,DESIGNER,4,10,0.5,0.6332196796270029,50.0
TF-IDF,DESIGNER,5,5,0.6,0.6843515475204855,60.0
TF-IDF,DESIGNER,5,10,0.7,0.7167674835027339,70.0
TF-IDF,DESIGNER,6,5,0.6,0.639945385422766,60.0
TF-IDF,DESIGNER,6,10,0.6,0.6243301345792677,60.0
TF-IDF,DESIGNER,7,5,0.8,0.8687949224876582,80.0
TF-IDF,DESIGNER,7,10,0.6,0.7007731679885374,60.0
TF-IDF,DESIGNER,8,5,0.4,0.5531464700081437,40.0
TF-IDF,DESIGNER,8,10,0.4,0.501749354207772,40.0
TF-IDF,DESIGNER,9,5,0.8,0.6608397947263839,80.0
TF-IDF,DESIGNER,9,10,0.8,0.7104770117651426,80.0
TF-IDF,SALES,1,5,0.2,0.13120507751234178,20.0
TF-IDF,SALES,1,10,0.1,0.08514311764162098,10.0
TF-IDF,SALES,2,5,0.2,0.14606834984270645,20.0
TF-IDF,SALES,2,10,0.2,0.16421958630632802,20.0
TF-IDF,SALES,3,5,0.8,0.6608397947263839,80.0
TF-IDF,SALES,3,10,0.6,0.5708588662113935,60.0
TF-IDF,SALES,4,5,0.0,0.0,0.0
TF-IDF,SALES,4,10,0.2,0.12987501165334076,20.0
TF-IDF,SALES,5,5,0.6,0.6164336326286644,60.0
TF-IDF,SALES,5,10,0.4,0.4636440365082036,40.0
TF-IDF,SALES,6,5,0.0,0.0,0.0
TF-IDF,SALES,6,10,0.0,0.0,0.0
TF-IDF,SALES,7,5,0.0,0.0,0.0
TF-IDF,SALES,7,10,0.0,0.0,0.0
TF-IDF,SALES,8,5,0.8,0.8539316501572937,80.0
TF-IDF,SALES,8,10,0.7,0.7721596254947203,70.0
TF-IDF,SALES,9,5,0.2,0.3391602052736161,20.0
TF-IDF,SALES,9,10,0.4,0.42333070005078094,40.0
TF-IDF,FINANCE,1,5,0.0,0.0,0.0
TF-IDF,FINANCE,1,10,0.1,0.07839826897867533,10.0
TF-IDF,FINANCE,2,5,0.2,0.13120507751234178,20.0
TF-IDF,FINANCE,2,10,0.1,0.08514311764162098,10.0
TF-IDF,FINANCE,3,5,0.2,0.16958010263680806,20.0
TF-IDF,FINANCE,3,10,0.2,0.1736666713479918,20.0
TF-IDF,FINANCE,4,5,0.6,0.4468535299918563,60.0
TF-IDF,FINANCE,4,10,0.7,0.5747915663739762,70.0
TF-IDF,FINANCE,5,5,0.0,0.0,0.0
TF-IDF,FINANCE,5,10,0.5,0.3510684246681534,50.0
TF-IDF,FINANCE,6,5,0.0,0.0,0.0
TF-IDF,FINANCE,6,10,0.1,0.07336392209936005,10.0
TF-IDF,FINANCE,7,5,0.4,0.38356636737133565,40.0
TF-IDF,FINANCE,7,10,0.3,0.3222722491219547,30.0
TF-IDF,FINANCE,8,5,0.4,0.38356636737133565,40.0
TF-IDF,FINANCE,8,10,0.4,0.39673781793804724,40.0
TF-IDF,FINANCE,9,5,0.0,0.0,0.0
TF-IDF,FINANCE,9,10,0.3,0.2114502791144043,30.0
TF-IDF,FINANCE,10,5,0.6,0.4912596920895758,60.0
TF-IDF,FINANCE,10,10,0.7,0.606241562353928,70.0
TF-IDF,BANKING,1,5,0.4,0.48522855511632257,40.0
TF-IDF,BANKING,1,10,0.2,0.31488013066763093,20.0
TF-IDF,BANKING,2,5,0.4,0.36005461457723403,40.0
TF-IDF,BANKING,2,10,0.4,0.36670281837883434,40.0
TF-IDF,BANKING,3,5,0.4,0.4703652827859579,40.0
TF-IDF,BANKING,3,10,0.5,0.5264282969545138,50.0
TF-IDF,HEALTHCARE,1,5,0.6,0.6992148198508501,60.0
