Model,JD_Key,Category,K,P@K,R@K,NDCG@K
SBERT,DIGITAL-MEDIA_JD3,DIGITAL-MEDIA,10,0.7,0.07291666666666667,0.7421246259355073
SBERT,DIGITAL-MEDIA_JD4,DIGITAL-MEDIA,5,0.4,0.020833333333333332,0.27727342735504823
SBERT,DIGITAL-MEDIA_JD4,DIGITAL-MEDIA,10,0.2,0.020833333333333332,0.17993148201117176
SBERT,DIGITAL-MEDIA_JD5,DIGITAL-MEDIA,5,0.6,0.03125,0.639945385422766
SBERT,DIGITAL-MEDIA_JD5,DIGITAL-MEDIA,10,0.4,0.041666666666666664,0.4936790360674166
SBERT,DIGITAL-MEDIA_JD6,DIGITAL-MEDIA,5,0.4,0.020833333333333332,0.34519134224686937
SBERT,DIGITAL-MEDIA_JD6,DIGITAL-MEDIA,10,0.5,0.052083333333333336,0.43808927588501717
SBERT,DIGITAL-MEDIA_JD7,DIGITAL-MEDIA,5,0.6,0.03125,0.6548086577531307
SBERT,DIGITAL-MEDIA_JD7,DIGITAL-MEDIA,10,0.6,0.0625,0.6339753813071974
SBERT,DIGITAL-MEDIA_JD8,DIGITAL-MEDIA,5,0.6,0.03125,0.6843515475204855
SBERT,DIGITAL-MEDIA_JD8,DIGITAL-MEDIA,10,0.4,0.041666666666666664,0.5174612499126158
SBERT,DIGITAL-MEDIA_JD9,DIGITAL-MEDIA,5,0.2,0.010416666666666666,0.13120507751234178
SBERT,DIGITAL-MEDIA_JD9,DIGITAL-MEDIA,10,0.3,0.03125,0.21501812929496175
SBERT,CONSULTANT_JD1,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD1,CONSULTANT,10,0.0,0.0,0.0
SBERT,CONSULTANT_JD2,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD2,CONSULTANT,10,0.0,0.0,0.0
SBERT,CONSULTANT_JD3,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD3,CONSULTANT,10,0.4,0.034782608695652174,0.2726701556894781
SBERT,CONSULTANT_JD4,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD4,CONSULTANT,10,0.0,0.0,0.0
SBERT,CONSULTANT_JD5,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD5,CONSULTANT,10,0.0,0.0,0.0
SBERT,CONSULTANT_JD6,CONSULTANT,5,0.4,0.017391304347826087,0.3156484524795145
SBERT,CONSULTANT_JD6,CONSULTANT,10,0.2,0.017391304347826087,0.20483424751859086
SBERT,CONSULTANT_JD7,CONSULTANT,5,0.2,0.008695652173913044,0.16958010263680806
SBERT,CONSULTANT_JD7,CONSULTANT,10,0.1,0.008695652173913044,0.11004588314904008
SBERT,CONSULTANT_JD8,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD8,CONSULTANT,10,0.0,0.0,0.0
SBERT,CONSULTANT_JD9,CONSULTANT,5,0.0,0.0,0.0
SBERT,CONSULTANT_JD9,CONSULTANT,10,0.1,0.008695652173913044,0.06362078819895171
SBERT,TEACHER_JD1,TEACHER,5,0.8,0.0392156862745098,0.830419897363192
SBERT,TEACHER_JD1,TEACHER,10,0.9,0.08823529411764706,0.8899541168509599
SBERT,TEACHER_JD2,TEACHER,5,0.8,0.0392156862745098,0.830419897363192
SBERT,TEACHER_JD2,TEACHER,10,0.9,0.08823529411764706,0.8899541168509599
SBERT,TEACHER_JD3,TEACHER,5,0.8,0.0392156862745098,0.8539316501572937
SBERT,TEACHER_JD3,TEACHER,10,0.8,0.0784313725490196,0.8415908474314976
SBERT,ADVOCATE_JD1,ADVOCATE,5,0.0,0.0,0.0
SBERT,ADVOCATE_JD1,ADVOCATE,10,0.2,0.01694915254237288,0.14201905717762703
SBERT,ADVOCATE_JD2,ADVOCATE,5,0.2,0.00847457627118644,0.16958010263680806
SBERT,ADVOCATE_JD2,ADVOCATE,10,0.1,0.00847457627118644,0.11004588314904008
SBERT,ADVOCATE_JD3,ADVOCATE,5,0.2,0.00847457627118644,0.13120507751234178
SBERT,ADVOCATE_JD3,ADVOCATE,10,0.3,0.025423728813559324,0.22716217481924803
SBERT,ADVOCATE_JD4,ADVOCATE,5,0.2,0.00847457627118644,0.3391602052736161
SBERT,ADVOCATE_JD4,ADVOCATE,10,0.1,0.00847457627118644,0.22009176629808017
SBERT,ADVOCATE_JD5,ADVOCATE,5,0.2,0.00847457627118644,0.14606834984270645
SBERT,ADVOCATE_JD5,ADVOCATE,10,0.2,0.01694915254237288,0.1731866333482261
SBERT,ADVOCATE_JD6,ADVOCATE,5,0.2,0.00847457627118644,0.14606834984270645
SBERT,ADVOCATE_JD6,ADVOCATE,10,0.1,0.00847457627118644,0.09478836436955078
SBERT,ADVOCATE_JD7,ADVOCATE,5,0.2,0.00847457627118644,0.21398626473452756
SBERT,ADVOCATE_JD7,ADVOCATE,10,0.1,0.00847457627118644,0.13886244387355454
SBERT,ADVOCATE_JD8,ADVOCATE,5,0.2,0.00847457627118644,0.16958010263680806
SBERT,ADVOCATE_JD8,ADVOCATE,10,0.1,0.00847457627118644,0.11004588314904008
SBERT,ADVOCATE_JD9,ADVOCATE,5,0.2,0.00847457627118644,0.16958010263680806
SBERT,ADVOCATE_JD9,ADVOCATE,10,0.1,0.00847457627118644,0.11004588314904008
SBERT,ADVOCATE_JD10,ADVOCATE,5,0.2,0.00847457627118644,0.13120507751234178
SBERT,ADVOCATE_JD10,ADVOCATE,10,0.2,0.01694915254237288,0.1635413866202963
SBERT,ARTS_JD1,ARTS,5,0.6,0.02912621359223301,0.5296347172140421
SBERT,ARTS_JD1,ARTS,10,0.4,0.038834951456310676,0.4170606134915054
SBERT,ARTS_JD2,ARTS,5,0.0,0.0,0.0
SBERT,ARTS_JD2,ARTS,10,0.0,0.0,0.0
SBERT,ARTS_JD3,ARTS,5,0.2,0.009708737864077669,0.3391602052736161
SBERT,ARTS_JD3,ARTS,10,0.1,0.009708737864077669,0.22009176629808017
SBERT,BUSINESS-DEVELOPMENT_JD1,BUSINESS-DEVELOPMENT,5,0.6,0.025210084033613446,0.5296347172140421
SBERT,BUSINESS-DEVELOPMENT_JD1,BUSINESS-DEVELOPMENT,10,0.7,0.058823529411764705,0.6285108926059098
SBERT,BUSINESS-DEVELOPMENT_JD2,BUSINESS-DEVELOPMENT,5,0.6,0.025210084033613446,0.639945385422766
SBERT,BUSINESS-DEVELOPMENT_JD2,BUSINESS-DEVELOPMENT,10,0.5,0.04201680672268908,0.5670429581667766
SBERT,BUSINESS-DEVELOPMENT_JD3,BUSINESS-DEVELOPMENT,5,0.6,0.025210084033613446,0.7227265726449519
SBERT,BUSINESS-DEVELOPMENT_JD3,BUSINESS-DEVELOPMENT,10,0.3,0.025210084033613446,0.4690000933206748
SBERT,AGRICULTURE_JD1,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD1,AGRICULTURE,10,0.1,0.015873015873015872,0.07336392209936005
SBERT,AGRICULTURE_JD2,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD2,AGRICULTURE,10,0.0,0.0,0.0
SBERT,AGRICULTURE_JD3,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD3,AGRICULTURE,10,0.0,0.0,0.0
SBERT,AGRICULTURE_JD4,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD4,AGRICULTURE,10,0.1,0.015873015873015872,0.07839826897867533
SBERT,AGRICULTURE_JD5,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD5,AGRICULTURE,10,0.0,0.0,0.0
SBERT,AGRICULTURE_JD6,AGRICULTURE,5,0.0,0.0,0.0
SBERT,AGRICULTURE_JD6,AGRICULTURE,10,0.0,0.0,0.0
SBERT,AGRICULTURE_JD7,AGRICULTURE,5,0.0,0.0,0.0
